Symbol,Name,Country,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,Real Estate,Other Consumer Services
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,United States,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,United States,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,United States,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,China,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,United States,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,
ABSI,Absci Corporation Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,China,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,United States,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,Health Care, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,United States,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,United States,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations
